"page_title","page_title href","small-24 src","small-24","small-24 href 2","small-24 3","small-24 4","small-24 5","small-24 6","small-24 8","small-24 9","small-24 href 3","small-24 11","small-24 12","small-24 13","small-24 14","has-tip"
"6512 Del Playa Drive, Isla Vista, CA","https://www.ivproperties.com/properties/isla-vista-properties/6512-delplaya-drive-isla-vista-ca/","https://www.ivproperties.com/site/assets/files/1264/01-001.600x370.jpg","6512 Del Playa Drive - Unit 1","https://www.ivproperties.com/properties/isla-vista-properties/6512-delplaya-drive-isla-vista-ca/properties-isla-vista-properties-6512-delplaya-drive-isla-vista-ca-unit1/","3 bedrooms","2 bathrooms","Maximum 6 residents","Included Utilities: Water, Landscape Maintenance","No pets","6512 Del Playa Drive - Unit 2","https://www.ivproperties.com/properties/isla-vista-properties/6512-delplaya-drive-isla-vista-ca/properties-isla-vista-properties-6512-delplaya-drive-isla-vista-ca-unit1-1/","3 bedrooms","2 bathrooms","Maximum 6 residents","Included Utilities: Water, Landscape Maintenance",""
"6522 Del Playa Drive, Isla Vista, CA","https://www.ivproperties.com/properties/isla-vista-properties/6731-pasado-road-isla-vista-ca-2/","https://www.ivproperties.com/site/assets/files/1244/03-003c.600x370.jpg","6522 Del Playa Drive - Unit A","https://www.ivproperties.com/properties/isla-vista-properties/6731-pasado-road-isla-vista-ca-2/unit-a/","3 bedrooms","2 bathrooms","Maximum 6 residents","Included Utilities: Landscape Maintenance","No pets","6522 Del Playa Drive - Unit B","https://www.ivproperties.com/properties/isla-vista-properties/6731-pasado-road-isla-vista-ca-2/unit-b/","3 bedrooms","2 bathrooms","Maximum 6 residents","Included Utilities: Landscape Maintenance",""
"6697 Del Playa Drive, Isla Vista, CA","https://www.ivproperties.com/properties/isla-vista-properties/6731-pasado-road-isla-vista-ca-1/","https://www.ivproperties.com/site/assets/files/1221/01-001.600x370.jpg","6697 Del Playa Drive - Main House","https://www.ivproperties.com/properties/isla-vista-properties/6731-pasado-road-isla-vista-ca-1/unit-a/","4 bedrooms","2 bathrooms","Maximum 8 residents","Included Utilities: Landscape Maintenance","No pets","6697 Del Playa Drive - Unit A","https://www.ivproperties.com/properties/isla-vista-properties/6731-pasado-road-isla-vista-ca-1/unit-b/","Studio","1 bathroom","Maximum 2 residents","Included Utilities: Landscape Maintenance",""
"6516 El Nido Ln., Isla Vista, CA","https://www.ivproperties.com/properties/isla-vista-properties/6516-el-nido-ln-isla-vista-ca-1/","https://www.ivproperties.com/site/assets/files/1214/01-001.600x370.jpg","6516 El Nido Lane - Unit 1","https://www.ivproperties.com/properties/isla-vista-properties/6516-el-nido-ln-isla-vista-ca-1/unit-1/","2 bedrooms","2 bathrooms","Maximum 4 residents","Included Utilities: Water, Trash, Landscape Maintenance","Pet friendly","6516 El Nido Lane - Unit 2","https://www.ivproperties.com/properties/isla-vista-properties/6516-el-nido-ln-isla-vista-ca-1/unit-2/","2 bedrooms","1 bathroom","Maximum 4 residents","Included Utilities: Water, Trash, Landscape Maintenance",""
"6611 Pasado Road, Isla Vista, CA","https://www.ivproperties.com/properties/isla-vista-properties/6611-pasado-road-isla-vista-ca/","https://www.ivproperties.com/site/assets/files/1107/001.600x370.jpg","6611 Pasado Road - Unit A","https://www.ivproperties.com/properties/isla-vista-properties/6611-pasado-road-isla-vista-ca/unit-a/","3 bedrooms &","2 bathrooms","Maximum 7 residents","Included Utilities: Water, Landscape Maintenance","Pet friendly","6611 Pasado Road - Unit B","https://www.ivproperties.com/properties/isla-vista-properties/6611-pasado-road-isla-vista-ca/unit-b/","4 bedrooms","2 bathrooms","Maximum 8 residents","Included Utilities: Water, Landscape Maintenance","1 finished garage"
"6621 Pasado Road, Isla Vista, CA","https://www.ivproperties.com/properties/isla-vista-properties/6617-trigo-road-isla-vista-ca-3/","https://www.ivproperties.com/site/assets/files/1257/01-001.600x370.jpg","6621 Pasado Road - Unit A","https://www.ivproperties.com/properties/isla-vista-properties/6617-trigo-road-isla-vista-ca-3/unit-a/","3 bedrooms","2 bathrooms","Maximum 6 residents","Included Utilities: Landscape Maintenance","Pet friendly","6621 Pasado Road - Unit B","https://www.ivproperties.com/properties/isla-vista-properties/6617-trigo-road-isla-vista-ca-3/unit-b/","2 bedrooms","2 bathrooms","Maximum 5 residents","Included Utilities: Landscape Maintenance",""
"6710 Pasado Road, Isla Vista, CA","https://www.ivproperties.com/properties/isla-vista-properties/6710-pasado-road-isla-vista-ca/","https://www.ivproperties.com/site/assets/files/1110/001.600x370.jpg","6710 Pasado Road - Unit  1","https://www.ivproperties.com/properties/isla-vista-properties/6710-pasado-road-isla-vista-ca/unit-1/","2 bedrooms","1.5 bathrooms","Maximum 4 residents","Included Utilities: Water, Trash, Landscape Maintenance","Pet friendly","6710 Pasado Road - Unit  2","https://www.ivproperties.com/properties/isla-vista-properties/6710-pasado-road-isla-vista-ca/unit-2/","2 bedrooms","1.5 bathrooms","Maximum 4 residents","Included Utilities: Water, Trash, Landscape Maintenance",""
"6731 Pasado Road, Isla Vista, CA","https://www.ivproperties.com/properties/isla-vista-properties/6731-pasado-road-isla-vista-ca/","https://www.ivproperties.com/site/assets/files/1115/image0.600x370.jpeg","6731 Pasado Road - Unit A","https://www.ivproperties.com/properties/isla-vista-properties/6731-pasado-road-isla-vista-ca/unit-a/","2 bedrooms &","1 bathroom","Maximum 5 residents","Included Utilities: Water, Landscape Maintenance","Pet friendly","6731 Pasado Road - Unit B","https://www.ivproperties.com/properties/isla-vista-properties/6731-pasado-road-isla-vista-ca/unit-b/","2 bedrooms &","1 bathroom","Maximum 5 residents","Included Utilities: Water, Landscape Maintenance","1 study room"
"6587 Picasso Road, Isla Vista, CA","https://www.ivproperties.com/properties/isla-vista-properties/6587-picasso-road-isla-vista-ca/","https://www.ivproperties.com/site/assets/files/1121/6587picassoext_small.600x370.jpg","6587 Picasso Road - Unit 1","https://www.ivproperties.com/properties/isla-vista-properties/6587-picasso-road-isla-vista-ca/unit-1/","3 bedrooms","2 bathrooms","Maximum 5 residents","Included Utilities: Water, Trash, Landscape Maintenance","Pet friendly","6587 Picasso Road - Unit 2","https://www.ivproperties.com/properties/isla-vista-properties/6587-picasso-road-isla-vista-ca/unit-2/","3 bedrooms","2 bathrooms","Maximum 5 residents","Included Utilities: Water, Trash, Landscape Maintenance",""
"6511 Sabado Tarde Road, Isla Vista, CA","https://www.ivproperties.com/properties/isla-vista-properties/6516-el-nido-ln-isla-vista-ca-2/","https://www.ivproperties.com/site/assets/files/1224/01-001-1.600x370.jpg","6511 Sabado Tarde Road - Unit 1","https://www.ivproperties.com/properties/isla-vista-properties/6516-el-nido-ln-isla-vista-ca-2/6511-sabado-tarde-road-unit-1/","Studio","1 bathroom","Maximum 2 residents","Included Utilities: Water, Trash, Landscape Maintenance","Pet friendly","6511 Sabado Tarde Road - Unit 2","https://www.ivproperties.com/properties/isla-vista-properties/6516-el-nido-ln-isla-vista-ca-2/6511-sabado-tarde-road-unit-2/","1 bedroom &","1 bathroom","Maximum 3 residents","Included Utilities: Water, Trash, Landscape Maintenance","1 bonus room"
"6605 Sabado Tarde Road, Isla Vista, CA","https://www.ivproperties.com/properties/isla-vista-properties/6605-sabado-tarde-road-isla-vista-ca/","https://www.ivproperties.com/site/assets/files/1126/001.600x370.jpg","6605 Sabado Tarde Road - Unit A","https://www.ivproperties.com/properties/isla-vista-properties/6605-sabado-tarde-road-isla-vista-ca/unit-a/","2 bedrooms &","2 bathrooms","Maximum 6 residents","Included Utilities: Water, Landscape Maintenance","Pet friendly","6605 Sabado Tarde Road - Unit B","https://www.ivproperties.com/properties/isla-vista-properties/6605-sabado-tarde-road-isla-vista-ca/unit-b/","2 bedrooms","1 bathroom","Maximum 4 residents","Included Utilities: Landscape Maintenance","1 studio"
"6610 Sabado Tarde Road, Isla Vista, CA","https://www.ivproperties.com/properties/isla-vista-properties/6610-sabado-tarde-road-isla-vista-ca/","https://www.ivproperties.com/site/assets/files/1130/1-1-img_1291.600x370.jpg","6610 Sabado Tarde Road - Unit A","https://www.ivproperties.com/properties/isla-vista-properties/6610-sabado-tarde-road-isla-vista-ca/unit-a/","2 bedrooms","1 bathroom","Maximum 4 residents","Included Utilities: Water, Landscape Maintenance","Pet friendly","6610 Sabado Tarde Road - Unit B","https://www.ivproperties.com/properties/isla-vista-properties/6610-sabado-tarde-road-isla-vista-ca/unit-b/","3 bedrooms","2 bathrooms","Maximum 6 residents","Included Utilities: Water, Landscape Maintenance",""
"6646 Sabado Tarde Road, Isla Vista, CA","https://www.ivproperties.com/properties/isla-vista-properties/6646-sabado-tarde-road-isla-vista-ca/","https://www.ivproperties.com/site/assets/files/1133/002.600x370.jpg","6646 Sabado Tarde Road - Unit A","https://www.ivproperties.com/properties/isla-vista-properties/6646-sabado-tarde-road-isla-vista-ca/unit-a/","3 bedrooms &","3 bathrooms","Maximum 7 residents","Included Utilities: Water, Landscape Maintenance","Pet friendly","6646 Sabado Tarde Road - Unit B","https://www.ivproperties.com/properties/isla-vista-properties/6646-sabado-tarde-road-isla-vista-ca/unit-b/","3 bedrooms","2 bathrooms","Maximum 5 residents","Included Utilities: Water, Landscape Maintenance","1 studio"
"6702 Sabado Tarde Road, Isla Vista, CA","https://www.ivproperties.com/properties/isla-vista-properties/6702-sabado-tarde-road-isla-vista-ca/","https://www.ivproperties.com/site/assets/files/1136/dorian_easbey_-_6702_front_yard_large.600x370.jpg","6702 Sabado Tarde Road - Unit A","https://www.ivproperties.com/properties/isla-vista-properties/6702-sabado-tarde-road-isla-vista-ca/unit-a/","3 bedrooms","2 bathrooms","Maximum 6 residents","Included Utilities: Water, Landscape Maintenance","Pet friendly","6702 Sabado Tarde Road - Unit B","https://www.ivproperties.com/properties/isla-vista-properties/6702-sabado-tarde-road-isla-vista-ca/unit-b/","3 bedrooms","2 bathrooms","Maximum 5 residents","Included Utilities: Water, Landscape Maintenance",""
"6758 Sabado Tarde Road, Isla Vista, CA","https://www.ivproperties.com/properties/isla-vista-properties/6758-sabado-tarde-road-isla-vista-ca/","https://www.ivproperties.com/site/assets/files/1139/001.600x370.jpg","6758 Sabado Tarde Road - Unit A","https://www.ivproperties.com/properties/isla-vista-properties/6758-sabado-tarde-road-isla-vista-ca/unit-a/","2 bedrooms &","2 bathrooms","Maximum 6 residents","Included Utilities: Water, Landscape Maintenance","Pet friendly","6758 Sabado Tarde Road - Unit B","https://www.ivproperties.com/properties/isla-vista-properties/6758-sabado-tarde-road-isla-vista-ca/unit-b/","2 bedrooms","1 bathroom","Maximum 4 residents","Included Utilities: Water, Landscape Maintenance","1 studio"
"6771 Sabado Tarde Road, Isla Vista, CA","https://www.ivproperties.com/properties/isla-vista-properties/6771-sabado-tarde-road-isla-vista-ca/","https://www.ivproperties.com/site/assets/files/1142/6771_sabado_front_building.600x370.jpg","6771 Sabado Tarde Road - Unit A","https://www.ivproperties.com/properties/isla-vista-properties/6771-sabado-tarde-road-isla-vista-ca/unit-a/","3 bedrooms","2 bathrooms","Maximum 6 residents","Included Utilities: Water, Landscape Maintenance","Pet friendly","6771 Sabado Tarde Road - Unit B","https://www.ivproperties.com/properties/isla-vista-properties/6771-sabado-tarde-road-isla-vista-ca/unit-b/","2 bedrooms","1 bathroom","Maximum 4 residents","Included Utilities: Water, Landscape Maintenance",""
"6798 Sueno Road, Isla Vista, CA","https://www.ivproperties.com/properties/isla-vista-properties/6798-sueno-road-isla-vista-ca/","https://www.ivproperties.com/site/assets/files/1145/001.600x370.jpg","6798 Sueno Road - Unit A","https://www.ivproperties.com/properties/isla-vista-properties/6798-sueno-road-isla-vista-ca/unit-a/","3 bedrooms","2 bathrooms","Maximum 5 residents","Included Utilities: Water, Landscape Maintenance","Pet friendly","6798 Sueno Road - Unit B","https://www.ivproperties.com/properties/isla-vista-properties/6798-sueno-road-isla-vista-ca/unit-b/","3 bedrooms","2 bathrooms","Maximum 5 residents","Included Utilities: Water, Landscape Maintenance",""
"6603 Trigo Road, Isla Vista, CA","https://www.ivproperties.com/properties/isla-vista-properties/6603-trigo-road-isla-vista-ca/","https://www.ivproperties.com/site/assets/files/1148/3-img_1244b.600x370.jpg","6603 Trigo Road - Unit A","https://www.ivproperties.com/properties/isla-vista-properties/6603-trigo-road-isla-vista-ca/unit-a/","3 bedrooms","2 bathrooms","Maximum 6 residents","Included Utilities: Water, Landscape Maintenance","Pet friendly","6603 Trigo Road - Unit B","https://www.ivproperties.com/properties/isla-vista-properties/6603-trigo-road-isla-vista-ca/unit-b/","3 bedrooms","2 bathrooms","Maximum 5 residents","Included Utilities: Water, Landscape Maintenance",""
"6609 Trigo Road, Isla Vista, CA","https://www.ivproperties.com/properties/isla-vista-properties/6609-trigo-road-isla-vista-ca/","https://www.ivproperties.com/site/assets/files/1151/003.600x370.jpg","6609 Trigo Road - Unit A","https://www.ivproperties.com/properties/isla-vista-properties/6609-trigo-road-isla-vista-ca/unit-a/","2 bedrooms","2 bathrooms","Maximum 4 residents","Included Utilities: Water, Landscape Maintenance","Pet friendly","6609 Trigo Road - Unit B","https://www.ivproperties.com/properties/isla-vista-properties/6609-trigo-road-isla-vista-ca/unit-b/","2 bedrooms &","3 bathrooms","Maximum 6 residents","Included Utilities: Water, Landscape Maintenance","1 studio"
"6610 Trigo Road, Isla Vista, CA","https://www.ivproperties.com/properties/isla-vista-properties/6610-trigo-road-isla-vista-ca/","https://www.ivproperties.com/site/assets/files/1154/001.600x370.jpg","6610 Trigo Road - Unit A","https://www.ivproperties.com/properties/isla-vista-properties/6610-trigo-road-isla-vista-ca/unit-a/","3 bedrooms &","2 bathrooms","Maximum 6 residents","Included Utilities: Water, Landscape Maintenance","Pet friendly","6610 Trigo Road - Unit B","https://www.ivproperties.com/properties/isla-vista-properties/6610-trigo-road-isla-vista-ca/unit-b/","3 bedrooms","1 bathroom","Maximum 5 residents","Included Utilities: Water, Landscape Maintenance","1 studio"
"6617 Trigo Road, Isla Vista, CA","https://www.ivproperties.com/properties/isla-vista-properties/6617-trigo-road-isla-vista-ca/","https://www.ivproperties.com/site/assets/files/1157/003.600x370.jpg","6617 Trigo Road - Unit A","https://www.ivproperties.com/properties/isla-vista-properties/6617-trigo-road-isla-vista-ca/unit-a/","2 bedrooms","1.5 bathrooms","Maximum 4 residents","Included Utilities: Water, Landscape Maintenance","Pet friendly","6617 Trigo Road - Unit B","https://www.ivproperties.com/properties/isla-vista-properties/6617-trigo-road-isla-vista-ca/unit-b/","2 bedrooms &","2 bathrooms","Maximum 6 residents","Included Utilities: Water, Landscape Maintenance","1 finished garage"
"6621 Trigo Road, Isla Vista, CA","https://www.ivproperties.com/properties/isla-vista-properties/6621-trigo-road-isla-vista-ca/","https://www.ivproperties.com/site/assets/files/1160/002.600x370.jpg","6621 Trigo Road - Unit A","https://www.ivproperties.com/properties/isla-vista-properties/6621-trigo-road-isla-vista-ca/unit-a/","2 bedrooms","1.5 bathrooms","Maximum 4 residents","Included Utilities: Water, Landscape Maintenance","Pet friendly","6621 Trigo Road - Unit B","https://www.ivproperties.com/properties/isla-vista-properties/6621-trigo-road-isla-vista-ca/unit-b/","2 bedrooms &","2 bathrooms","Maximum 6 residents","Included Utilities: Water, Landscape Maintenance","1 finished garage"
"6633 Trigo Road, Isla Vista, CA","https://www.ivproperties.com/properties/isla-vista-properties/6633-trigo-road-isla-vista-ca/","https://www.ivproperties.com/site/assets/files/1163/001.600x370.jpg","6633 Trigo Road - Unit A","https://www.ivproperties.com/properties/isla-vista-properties/6633-trigo-road-isla-vista-ca/unit-a/","4 bedrooms","3 bathrooms","Maximum 8 residents","Included Utilities: Water, Landscape Maintenance","Pet friendly","6633 Trigo Road - Unit B","https://www.ivproperties.com/properties/isla-vista-properties/6633-trigo-road-isla-vista-ca/unit-b/","3 bedrooms","2 bathrooms","Maximum 6 residents","Included Utilities: Water, Landscape Maintenance",""
"6643 Trigo Road, Isla Vista, CA","https://www.ivproperties.com/properties/isla-vista-properties/6643-trigo-road-isla-vista-ca/","https://www.ivproperties.com/site/assets/files/1166/6643_trigo_exterior_large.600x370.jpg","6643 Trigo Road - Unit A","https://www.ivproperties.com/properties/isla-vista-properties/6643-trigo-road-isla-vista-ca/unit-a/","2 bedrooms &","1 bathroom","Maximum 5 residents","Included Utilities: Water, Landscape Maintenance","Pet friendly","6643 Trigo Road - Unit B","https://www.ivproperties.com/properties/isla-vista-properties/6643-trigo-road-isla-vista-ca/unit-b/","2 bedrooms &","1 bathroom","Maximum 5 residents","Included Utilities: Water, Landscape Maintenance","1 finished garage"
"6645 Trigo Road, Isla Vista, CA","https://www.ivproperties.com/properties/isla-vista-properties/6645-trigo-road-isla-vista-ca/","https://www.ivproperties.com/site/assets/files/1169/002.600x370.jpg","6645 Trigo Road - Unit A","https://www.ivproperties.com/properties/isla-vista-properties/6645-trigo-road-isla-vista-ca/unit-a/","2 bedrooms &","1 bathroom","Maximum 5 residents","Included Utilities: Water, Landscape Maintenance","Pet friendly","6645 Trigo Road - Unit B","https://www.ivproperties.com/properties/isla-vista-properties/6645-trigo-road-isla-vista-ca/unit-b/","2 bedrooms &","1 bathroom","Maximum 5 residents","Included Utilities: Water, Landscape Maintenance","1 finished garage"
"6757 Trigo Road Isla Vista, CA","https://www.ivproperties.com/properties/isla-vista-properties/6757-trigo-road-isla-vista-ca/","https://www.ivproperties.com/site/assets/files/1172/001.600x370.jpg","6757 Trigo Road - Unit A","https://www.ivproperties.com/properties/isla-vista-properties/6757-trigo-road-isla-vista-ca/unit-a/","2 bedrooms","1 bathroom","Maximum 4 residents","Included Utilities: Water, Landscape Maintenance","Pet friendly","6757 Trigo Road - Unit B","https://www.ivproperties.com/properties/isla-vista-properties/6757-trigo-road-isla-vista-ca/unit-b/","2 bedrooms","1 bathroom","Maximum 4 residents","Included Utilities: Water, Landscape Maintenance",""